structure,folder,coordinate,diffs_0,diffs_1,diffs_2,diffs_3,diffs_4,diffs_5,diffs_6,diffs_7,diffs_8,diffs_9,diffs_10,diffs_11,diffs_12,diffs_13,diffs_14,diffs_gnorm,forces_0,forces_1,forces_2,forces_3,forces_4,forces_5,forces_6,forces_7,forces_8,forces_9,forces_10,forces_11,forces_12,forces_13,forces_14,forces_gnorm
structure151,random,y,13.839400180616948,-10.582642704275086,-11.036937141833537,-9.610170610450108,7.532112763299984,-13.384932172534072,7.608948442024151,-21.942601843405455,-2.817959287184289,23.158492064509076,6.542491800946966,7.102717734672019,-5.320829718653154,5.025702156943358,-0.31700686415229085,91.3653219539848,19.656187599395665,-19.41600472048678,-4.541968506149961,-17.460874999870498,-26.220839290567923,24.85801942877153,18.79796485948598,-6.347439107002265,-29.552855355432783,35.366625721478044,16.872333748534878,0.35168930057761344,12.072863987597827,-12.137191705189775,-12.298510961141552,118.17540551571689
structure151,random,z,8.893943132341198,-11.522552318655475,-11.931767927942323,0.8005391108507511,-6.952070443521802,14.854095456548412,13.334888912622121,14.426805479035677,-7.637476931790527,10.4976063246707,-9.02079740660923,-20.73361171790014,22.0101662158357,-52.54169223995742,26.809338730797638,91.3653219539848,19.889654822420187,12.157754411746929,-2.0008525795009255,17.010545560457146,-7.116627702445634,2.3232807536615634,17.767639631230782,3.8234584482390734,1.002946664206093,0.6712123238809682,-17.9351502780996,-35.20699947890358,14.121321236682203,-15.471346788272129,-11.036837025303049,118.17540551571689
structure152,random,x,-2.614282776002938,-3.02398361547825,2.8757202309130183,2.830837445209169,-10.92412491235038,2.435276464616024,-9.742970639340214,0.23968623996485916,0.6868430376528931,20.016035740779937,-20.468022301604346,19.58890911555031,-1.06856096684808,-3.8933776239028113,-4.871939048436829,97.3962449169561,12.117413000545893,-12.197344652948807,-12.176273005863854,-12.177232876088294,-17.314911379803497,-12.262556171765251,-17.372036745029195,-0.04371349755898208,-0.013624442403577741,34.760449900129665,-34.64591598182905,34.86816595963081,-0.051684682230573015,24.42688562581581,12.082378949398851,131.20842234315535
structure152,random,y,4.698925928895913,18.320019788599875,14.119062613958558,-23.0290243858857,7.428458836618444,18.275043959312818,-11.796305990326083,-7.664938898648658,8.16386403583953,5.130839814098043,17.905066364328615,-59.87457893892278,9.405024118854154,1.9705898285352954,-9.04392344827761,97.3962449169561,-11.989965211660026,-10.910290580685771,-4.997434740865305,4.333817159835416,18.08897142560107,-10.79470342303853,-19.05368420143774,-1.1585151789101689,0.8998063843133609,0.29820703738861953,35.21267697489681,-37.29601863821408,0.40156094684120136,25.183452156097633,11.782119889837507,131.20842234315535
structure152,random,z,-5.309515386566451,10.44186104100929,16.99349190887595,-1.9372064854453042,-11.185628518657344,-25.614046061541437,4.644922949967194,-8.515709675417414,5.717779091642943,3.582239641215296,4.818305008141634,6.788271419777994,5.352906647936371,9.962825837798524,-24.388752316121508,97.3962449169561,-12.307107752157735,53.726001782293864,-10.913963629892425,12.351320092367105,-18.321859491437166,-54.02428766750785,17.16807843786191,-0.9051773150101137,1.1452413747244683,0.07854760324672444,-0.013721051930902645,0.2196775652199509,0.24402703128304498,0.4327604818767014,11.120462539062403,131.20842234315535
structure153,random,x,15.790553442046782,-11.333510652207975,-0.9395777824842658,8.40017381953212,2.4311416296445585,-8.014352542982614,-10.588369086602428,-2.4044855433597494,-8.869254623142439,-0.9774361650773918,-5.684453106136796,13.597647068688193,-2.84331935009003,-1.1020539439661088,11.084961807851153,72.21903229460422,7.6512276979049325,-6.175692375613209,-0.04696792677511112,0.621795874724756,-0.3137367810654009,11.781813466162198,-1.138626020003144,-0.21598005689868077,-17.41244870636102,-0.22502007098838325,-0.3449867287423446,17.713573547007304,-0.15426717133897225,-0.0922191768161771,-11.648465571196747,53.760357758485995
structure153,random,y,9.93646738464445,7.459466448354216,-2.1883592648628207,3.990957157399001,9.396207799560537,-8.993634928900923,27.97961010184358,-21.482751514796934,2.0303787310616483,0.03368746282513912,8.652501702539737,-8.23107540198379,-3.2139119698364498,-35.96673256458978,7.042818712011315,72.21903229460422,0.6117102459875293,-0.11872937267900019,-0.10858310139006562,-0.26973989562608464,1.9105437195110917,11.72592199921414,8.29365089038339,-8.216303164011244,17.37105407586288,-0.4282970877572657,0.48545226735500197,-17.213573801245143,-0.055222084366792254,-2.135982725856494,-11.851901965381954,53.760357758485995
structure153,random,z,-4.567728256978918,1.6532566339743646,-3.378782032372753,-2.403890087443616,4.4551168268029935,-4.672868405331098,-3.989031456436389,-0.8486543313913231,-0.40694121842116365,-9.105974197711332,-3.4040280258866984,0.7953738464415308,29.323366088587875,-1.443642741595619,-2.01139474610547,72.21903229460422,-0.32528660604638066,0.6349603277347176,-0.18153907964314558,-0.8710080852578068,0.8074218441118701,11.94776460953236,-0.7343503617082525,-0.11177566795723062,-16.971718847033962,-0.12849419889685598,-0.20794501930986284,16.957415143630644,1.8034817774213805,-0.1939699094660003,-12.42495592711147,53.760357758485995
structure154,random,x,-6.362536924851225,5.025872311334544,-9.345837862940986,8.341224394719621,-0.7650944613150857,10.024633807538816,18.992199977115384,4.844839404176739,-23.53293306011957,4.04974357768682,-1.5791236322252133,34.279296099432244,-7.656592553419652,-32.06916703839169,-7.567698667543997,133.45092313507348,-0.1978885435975316,0.054970473746737025,-4.5215580919511025,-12.67481968248383,-0.6247120960489769,-11.106949395075748,8.12756050754839,0.2527819249297861,-8.224116317268393,0.25549494327421074,-0.14748655292500507,19.477509696262857,11.877200015941785,-2.0723800376352868,-0.4756068447178763,66.59020395236122
structure154,random,y,6.046064352056856,-6.90592702693694,-3.452295148377623,-29.071781408304666,0.5793929175107417,-5.350154453763725,-3.9412708753448844,15.542608536554754,-5.20249420420791,6.600502136061746,-1.7070794102395919,11.085452658480234,-1.2079031091583603,9.199137094315432,4.792166439580372,133.45092313507348,0.47531847525960136,-1.0464860316850446,-30.173292088130776,4.481836427998282,0.054498612513221106,11.816255069810726,0.01367625235889966,8.463605022899982,-0.020558539406813403,-0.07435962458116929,0.11508748782229125,17.524057805338785,-12.372105815847611,0.48900393253897617,0.25346301311066455,66.59020395236122
