structure,folder,diffs_gnorm_0,diffs_gnorm_1,diffs_gnorm_2,forces_gnorm
structure193,random,36.64107300938636,16.523203352669885,26.74642300314608,136.59755632628986
structure194,random,0.014690162330691293,18.089723858838028,0.5143913439436034,43.35886450081562
structure195,random,13.334664446363686,0.00019124785093059082,13.97344373167269,64.23842154501979
structure196,random,62.150548461565805,17.948509028753698,17.87027182876418,154.26223870978478
structure197,random,18.001044234865667,24.92886261943822,36.11611866864159,122.12236362879578
structure198,random,13.146624851263148,17.962521920455238,18.31845866611143,122.99758065789987
structure199,random,9.32927225107632,13.254395140085343,60.90879395168518,208.20081418148263
structure19,random,18.484509198892844,0.34760320636025754,0.2763421199965293,73.28578314335758
structure1,random,22.875490999050452,4.785910350021984,15.826824480922607,89.29434533059782
structure200,random,7.156264183227913,36.26163705896484,0.04846000347393609,111.98741066077775
structure20,random,17.206945553129028,17.197962688076295,0.004840750660190906,132.8517912558605
structure21,random,1.560620091111273,0.045962766370897065,18.290310826074197,98.1030658538383
structure22,random,0.17268151951375738,13.30585953180098,0.03285593017164426,119.87821400158606
structure23,random,35.5583539503056,0.03243500048781213,0.2030454404521547,97.40514340731136
structure24,random,19.612755338064222,13.310926227751347,19.488334343727715,124.41919770098556
structure25,random,13.477288730920458,4.933931043815572,13.475079160761714,111.27148101170133
structure26,random,11.910405492656533,0.26052139405503544,1.2836867040862652,97.05745544164785
structure27,random,12.84024740453902,26.61235345050062,35.32974958963452,161.4249265466622
structure28,random,13.34481592870488,0.6116018076312545,19.384693706013998,79.12716258534111
structure29,random,9.874158035333243,4.435594741098151,3.5235910516629962,124.6724907896539
structure2,random,18.141283903982764,18.139108724031093,1.2619128587056088,53.6728769625273
structure30,random,11.41534387325273,0.5114426162873995,13.247624833561511,61.3739759969709
structure31,random,0.015986360345327938,13.79333495155975,5.521410692430428,135.716610369482
structure32,random,0.031162657385560708,0.17861711603096891,0.031482341986901016,21.23283403441383
structure33,random,0.3112173884062809,0.14237560438556132,13.343868861703061,72.13022478503862
structure34,random,6.223594659307248,7.88879402572627,0.5259475300450261,109.97923484431608
structure35,random,13.298912534701952,29.83042640149757,18.027315523627188,136.1222764273264
structure36,random,0.026254833789596255,1.1268042959759543,11.53679965728141,129.05903590806142
structure37,random,4.275950789867595,6.91995058165626,0.3527377692521813,64.53142285193823
structure38,random,27.4076148301141,15.389510584687208,36.26120696748197,135.5596553043565
structure39,random,31.188507671900283,43.34793523083594,0.10055971021074128,123.54826406458757
structure3,random,54.5810042075352,15.23906751519713,17.78062182911959,137.23956649703638
structure40,random,13.26912072959495,13.265319043058279,20.85432414234822,104.3537626077921
structure41,random,0.6132254757002422,0.009251043343416709,14.04573089466127,80.15239854546326
structure42,random,0.08909060863236576,0.7263916390685141,0.4229289550319878,54.229195804912386
structure43,random,0.25136953045061156,6.753922586162406,18.741589134392342,123.58346301692536
structure44,random,0.048252668295016996,0.047721839783651944,0.015611456435372192,43.70842805920259
structure45,random,31.58387733380784,0.016569174363117098,6.077811718379538,114.29649991232526
structure46,random,32.84447332602607,35.35610336824087,36.754737671287685,174.5135534566977
structure47,random,0.154619757635199,12.5012301139147,13.299709154893621,69.0937788698849
structure48,random,22.927656101917634,13.312083264595392,0.1657580893693268,123.68907095769703
structure49,random,1.2602110484379876,17.882696488299104,0.07701084143328914,107.01172982379522
structure4,random,18.317740015520872,0.7653739220110274,0.1831610906862154,123.92369373269044
structure50,random,13.269781616963135,13.276779291356577,25.012182579279646,106.8386737686711
structure51,random,9.593673309950688,0.4074073566176761,18.13785633781661,49.51935422105111
structure52,random,14.904593779158143,0.0006589542405231675,14.719090035293416,93.76322029034054
structure53,random,0.0978533347632636,0.26718604341932267,0.2685946520245194,96.52256011785856
structure54,random,36.61813104844397,7.691700140182267,36.61998301114864,157.86596453494286
structure55,random,6.701830894846375,6.703944949596158,6.700799911429631,64.44566978744894
structure56,random,0.6430781656021969,0.0017417463205861208,0.2596660658460421,4.911003271610437
structure57,random,0.5716550431260982,29.66759861490269,0.03980387323117673,99.38607456993422
structure58,random,13.854780708198735,0.0818046082022487,26.653674649900708,74.83520072594993
structure59,random,0.09285970628787453,0.24679993213644527,0.0902225083167019,62.356699737623565
structure5,random,0.25896015444766346,0.003525782647659014,63.07764907138953,180.0824840017729
structure60,random,20.373379969283732,25.917582313586117,21.101621877745625,127.10637190667964
structure61,random,0.08477356084326552,13.301251010424775,0.09051740360787118,95.90234596895574
structure62,random,18.96576044467294,18.804934311698798,18.064902425285965,80.61458174247089
structure63,random,0.0020029957958645787,0.17214784563982324,13.319749410199863,75.42912730339864
structure64,random,0.2228233012945394,14.043113172449377,19.832122267662346,117.06502873156771
structure65,random,0.57517354715898,2.6326563394520943,41.65013363069613,170.85710219781186
structure66,random,0.33214521136441194,7.74988558483156e-06,7.203129007880462,56.30501676858197
structure67,random,39.84797375064565,5.1176382875234365,0.6293613329305265,139.20707943535942
structure68,random,13.348026795334329,18.099216798402953,0.2104318508780644,78.4255479039525
structure69,random,13.29533841412325,0.3819343776549067,31.426401635372073,100.95525734626825
structure6,random,0.7471495335474361,0.08976248776375512,13.410859581257006,85.00577536683828
structure70,random,17.453087780970595,19.324604400815225,13.16479980380251,115.46323512684148
structure71,random,1.0301900533215234,6.719574122175843,18.09693828655089,186.8369249831431
structure72,random,0.7497071031974879,0.08703434354278873,13.845806876751846,83.67608611710298
structure73,random,18.60616036551247,1.4380558861651536,0.547461277019912,66.53416757051409
structure74,random,18.308994445227434,10.945039001687073,10.939434669881958,79.42378326166649
structure75,random,7.1896348439991895,0.25881871657201194,26.615335959168796,77.80512534830802
structure76,random,0.1642147929887578,18.03206077361571,0.044346644499994085,90.64660787158925
structure77,random,13.352539541286568,0.6490973101776153,1.6515128089165514,84.56048664530157
structure78,random,36.212380252162156,0.05887713831608706,0.7480521795239853,108.50042039050263
structure79,random,0.7918695645553285,31.31606561185124,15.094455252040639,111.16324975001164
structure7,random,11.12127239060784,33.278982099408296,11.125582888308964,132.50026202813217
structure80,random,18.39357550301521,18.222289730112173,23.944602077028037,110.06111679074945
structure81,random,13.295883374466216,13.3765034194878,18.227529321191128,68.33476582277771
structure82,random,18.128186936072154,0.0030805557368010507,13.346502216137836,131.13200419392885
structure83,random,0.287604501471489,13.24514799129685,13.35722770742469,100.34518565983308
structure84,random,18.133986456455776,1.1649711279413226,0.5624374809771823,127.68104479185754
structure85,random,0.0007471321958111028,26.66868017700688,3.7217117927723966,81.56528176654571
structure86,random,7.181147510195828,0.16973200041368627,6.394779255205224,49.10730889174045
structure87,random,10.359484096850517,5.420773922949776,0.023022689929720626,139.26443149863033
structure88,random,18.275035220090277,14.463566167882137,52.42175766506457,132.95243246773984
structure89,random,18.02150996782167,22.506746459158204,13.366675873890635,119.17204583113596
structure8,random,13.958083253552457,17.885930819579706,17.891945194754328,81.58953654759195
structure90,random,0.06510016402707165,0.514212548118261,18.928501394302256,106.41268468239147
structure91,random,18.2977649166894,0.5693124500799323,18.35519219420431,83.305268424229
structure92,random,18.560395170691713,26.729603868520563,11.80041729055858,128.0754438190822
structure93,random,36.660992739215985,1.3870784668483032,0.16660167434701198,80.09711539533552
structure94,random,13.38022290632772,13.37537038892868,0.00019579320203744045,101.91179310276678
structure95,random,17.159869682789477,26.45388246221284,26.973826210717718,94.85536361357596
structure96,random,20.254252073010253,13.281899951368372,0.2624013709653714,87.77342662951632
structure97,random,19.294691132046303,13.367721769167563,0.3349622671109454,113.77541866280446
structure98,random,0.2508912510850036,23.848466149732864,13.253279629417753,109.18858895538804
structure99,random,26.66669081932508,26.416768043772745,19.107390140732107,146.7403221301355
structure9,random,30.79006812218005,30.848216387609146,0.8323048140308106,132.68152521910358
