structure,method,energy,gnorm,opt_time,peak_mem,cpu_time,opt_succ,cycles,hessian,failure,options,switch
structure9,switch,inf,0,0.9411,0.56,0.9411,False,199,0,"  **** Too many failed attempts to optimise ****
","switch_minimiser bfgs gnorm 0.1
",-1
structure10,switch,-468.75270325,0.00031516,1.706,0.6,1.706,True,202,14,,"switch_minimiser bfgs gnorm 0.1
",74
structure11,switch,-466.53619415,6.49E-05,1.492,0.6,1.492,True,188,10,,"switch_minimiser bfgs gnorm 0.1
",91
structure12,switch,-468.27442892,0.00051181,1.3023,0.6,1.3023,True,125,2,,"switch_minimiser bfgs gnorm 0.1
",117
structure14,switch,-469.83854401,0.00029082,1.1681,0.6,1.1681,True,161,9,,"switch_minimiser bfgs gnorm 0.1
",104
structure15,switch,-469.35403227,0.00036878,1.4413,0.6,1.4413,True,164,1,,"switch_minimiser bfgs gnorm 0.1
",156
structure16,switch,inf,0,0.1475,0.56,0.1476,False,21,0,"  **** Too many failed attempts to optimise ****
","switch_minimiser bfgs gnorm 0.1
",-1
structure17,switch,-475.75063907,0.00019242,3.8334,0.6,3.8334,True,303,25,,"switch_minimiser bfgs gnorm 0.1
",129
structure18,switch,-470.07920236,0.00026329,0.9155,0.6,0.9155,True,110,5,,"switch_minimiser bfgs gnorm 0.1
",94
structure19,switch,-472.19899907,0.00054019,1.321,0.6,1.3211,True,164,5,,"switch_minimiser bfgs gnorm 0.1
",120
structure20,switch,-470.41131424,0.00033596,0.9452,0.6,0.9452,True,123,5,,"switch_minimiser bfgs gnorm 0.1
",82
structure21,switch,inf,0,0.1753,0.56,0.1753,False,23,0,"  **** Too many failed attempts to optimise ****
","switch_minimiser bfgs gnorm 0.1
",-1
structure22,switch,-472.05760964,0.00013402,2.4602,0.6,2.4602,True,231,6,,"switch_minimiser bfgs gnorm 0.1
",181
structure23,switch,-469.0494547,0.00023383,1.5541,0.6,1.5541,True,167,8,,"switch_minimiser bfgs gnorm 0.1
",109
structure24,switch,-471.35892199,0.00054868,0.7691,0.6,0.7691,True,101,1,,"switch_minimiser bfgs gnorm 0.1
",94
structure25,switch,-470.11916239,0.00011868,1.1759,0.6,1.1759,True,122,6,,"switch_minimiser bfgs gnorm 0.1
",84
structure26,switch,-466.82564125,0.00035958,1.0933,0.6,1.0933,True,139,3,,"switch_minimiser bfgs gnorm 0.1
",121
structure27,switch,-470.11657681,0.00051069,1.5503,0.6,1.5503,True,175,8,,"switch_minimiser bfgs gnorm 0.1
",111
structure28,switch,-468.46757929,0.00053392,0.9414,0.6,0.9415,True,133,3,,"switch_minimiser bfgs gnorm 0.1
",113
structure29,switch,-467.63037587,4.776E-05,0.5905,0.6,0.5905,True,93,2,,"switch_minimiser bfgs gnorm 0.1
",80
structure30,switch,-469.34372148,0.0001684,1.8523,0.6,1.8523,True,217,10,,"switch_minimiser bfgs gnorm 0.1
",151
structure31,switch,-467.9720927,0.00041542,0.9949,0.6,0.9949,True,134,4,,"switch_minimiser bfgs gnorm 0.1
",102
structure32,switch,-468.68988085,0.00041439,0.6647,0.6,0.6647,True,102,1,,"switch_minimiser bfgs gnorm 0.1
",95
structure33,switch,-468.42153024,0.00030879,1.1624,0.6,1.1624,True,156,4,,"switch_minimiser bfgs gnorm 0.1
",137
structure34,switch,-467.91875084,0.00042146,1.3552,0.6,1.3552,True,178,6,,"switch_minimiser bfgs gnorm 0.1
",131
structure35,switch,-471.04267497,0.0003459,1.9309,0.6,1.9309,True,265,19,,"switch_minimiser bfgs gnorm 0.1
",129
structure36,switch,-470.43897539,0.00026976,1.2345,0.6,1.2346,True,145,5,,"switch_minimiser bfgs gnorm 0.1
",119
structure37,switch,-468.96666387,0.000351,0.9583,0.6,0.9583,True,108,3,,"switch_minimiser bfgs gnorm 0.1
",79
structure38,switch,-469.67836637,0.00033906,1.2055,0.6,1.2055,True,128,4,,"switch_minimiser bfgs gnorm 0.1
",99
structure39,switch,-467.45364094,0.0003335,1.1889,0.6,1.1889,True,154,3,,"switch_minimiser bfgs gnorm 0.1
",130
structure40,switch,-469.36913359,0.00313448,11.8804,0.6,11.8804,False,1000,119,"  **** Maximum number of function calls has been reached ****
","switch_minimiser bfgs gnorm 0.1
",90
structure41,switch,-469.30321863,0.0003128,1.043,0.6,1.043,True,134,6,,"switch_minimiser bfgs gnorm 0.1
",79
structure42,switch,-468.92118304,0.00038915,2.0751,0.6,2.0751,True,203,4,,"switch_minimiser bfgs gnorm 0.1
",179
structure43,switch,-468.69920926,0.00028255,0.5804,0.6,0.5804,True,66,1,,"switch_minimiser bfgs gnorm 0.1
",59
structure44,switch,-467.81645033,0.0001651,3.2998,0.6,3.2998,True,377,4,,"switch_minimiser bfgs gnorm 0.1
",362
structure45,switch,-469.69720778,0.00021847,0.7099,0.6,0.7099,True,97,1,,"switch_minimiser bfgs gnorm 0.1
",89
structure46,switch,-470.54308776,0.00034532,0.9723,0.6,0.9724,True,100,3,,"switch_minimiser bfgs gnorm 0.1
",81
structure47,switch,-469.48304298,0.000219,2.5023,0.6,2.5024,True,261,1,,"switch_minimiser bfgs gnorm 0.1
",255
structure48,switch,-467.73044445,0.00042622,0.708,0.6,0.708,True,105,3,,"switch_minimiser bfgs gnorm 0.1
",84
structure49,switch,-467.91024514,0.0004314,1.6021,0.6,1.6021,True,181,2,,"switch_minimiser bfgs gnorm 0.1
",164
structure50,switch,-470.81970733,6.528E-05,0.9273,0.6,0.9273,True,116,5,,"switch_minimiser bfgs gnorm 0.1
",80
structure51,switch,-469.48304299,0.00012426,1.729,0.6,1.729,True,192,6,,"switch_minimiser bfgs gnorm 0.1
",166
structure52,switch,-469.2487836,0.00034045,1.2379,0.6,1.238,True,172,1,,"switch_minimiser bfgs gnorm 0.1
",162
structure53,switch,inf,0,1.014,0.56,1.014,False,209,0,"  **** Too many failed attempts to optimise ****
","switch_minimiser bfgs gnorm 0.1
",-1
structure54,switch,-470.25105147,0.00042937,1.3839,0.6,1.3839,True,138,9,,"switch_minimiser bfgs gnorm 0.1
",59
structure55,switch,-467.73110987,0.00043024,1.3251,0.6,1.3251,True,160,7,,"switch_minimiser bfgs gnorm 0.1
",115
structure56,switch,-465.67326228,0.01946162,5.6991,0.6,5.6991,False,619,105,"  **** Conditions for a minimum have not been satisfied. However ****
  **** no lower point can be found - treat results with caution  ****
  **** unless gradient norm is small (less than 0.1)             ****
","switch_minimiser bfgs gnorm 0.1
",200
structure57,switch,-472.66856778,0.00012511,0.6103,0.6,0.6103,True,82,1,,"switch_minimiser bfgs gnorm 0.1
",77
structure58,switch,-470.3087773,0.00032471,1.0982,0.6,1.0982,True,131,2,,"switch_minimiser bfgs gnorm 0.1
",120
structure59,switch,-468.96038966,0.00049846,1.1236,0.6,1.1236,True,128,8,,"switch_minimiser bfgs gnorm 0.1
",72
structure60,switch,-464.46033413,0.0001942,0.9702,0.6,0.9702,True,142,4,,"switch_minimiser bfgs gnorm 0.1
",113
structure61,switch,-469.18151202,0.00011404,1.1101,0.6,1.1101,True,119,2,,"switch_minimiser bfgs gnorm 0.1
",101
structure62,switch,-470.5490554,0.00026057,1.9841,0.6,1.9842,True,209,14,,"switch_minimiser bfgs gnorm 0.1
",102
structure63,switch,-469.68257466,0.00037974,0.8605,0.6,0.8605,True,126,1,,"switch_minimiser bfgs gnorm 0.1
",117
structure64,switch,-470.60770216,0.00031672,1.656,0.6,1.656,True,190,4,,"switch_minimiser bfgs gnorm 0.1
",153
structure65,switch,-475.75063913,6.526E-05,0.7535,0.6,0.7535,True,110,1,,"switch_minimiser bfgs gnorm 0.1
",107
structure66,switch,-469.58907651,0.0003198,1.8407,0.6,1.8407,True,200,3,,"switch_minimiser bfgs gnorm 0.1
",186
structure67,switch,-470.16125027,0.00033029,1.6504,0.6,1.6504,True,172,17,,"switch_minimiser bfgs gnorm 0.1
",49
structure68,switch,-469.55198131,0.00030015,3.0204,0.6,3.0204,True,312,1,,"switch_minimiser bfgs gnorm 0.1
",304
structure69,switch,-470.05603349,0.00027542,0.9263,0.6,0.9263,True,136,10,,"switch_minimiser bfgs gnorm 0.1
",59
structure70,switch,-466.70342584,0.00026023,1.4069,0.6,1.407,True,139,4,,"switch_minimiser bfgs gnorm 0.1
",101
structure71,switch,-472.15865622,0.00020077,1.7982,0.6,1.7983,True,232,1,,"switch_minimiser bfgs gnorm 0.1
",227
structure72,switch,-469.39110494,0.00022923,0.7415,0.6,0.7415,True,87,3,,"switch_minimiser bfgs gnorm 0.1
",67
structure73,switch,-467.11345242,0.00051573,2.1968,0.6,2.1968,True,247,15,,"switch_minimiser bfgs gnorm 0.1
",132
structure74,switch,-469.74624568,0.00037252,1.0886,0.6,1.0886,True,132,4,,"switch_minimiser bfgs gnorm 0.1
",99
structure75,switch,-469.110332,0.00014879,2.4973,0.6,2.4974,True,333,27,,"switch_minimiser bfgs gnorm 0.1
",114
structure76,switch,-466.5985561,0.00040378,1.2772,0.6,1.2772,True,157,5,,"switch_minimiser bfgs gnorm 0.1
",121
structure77,switch,-470.54671434,0.00035427,1.6186,0.6,1.6186,True,177,8,,"switch_minimiser bfgs gnorm 0.1
",111
structure78,switch,-468.24237268,0.00023794,0.8814,0.6,0.8814,True,96,1,,"switch_minimiser bfgs gnorm 0.1
",89
structure79,switch,-466.78347283,0.0003139,0.9023,0.6,0.9023,True,95,2,,"switch_minimiser bfgs gnorm 0.1
",83
structure80,switch,-470.75949766,0.00024749,2.863,0.6,2.863,True,418,41,,"switch_minimiser bfgs gnorm 0.1
",92
structure81,switch,-466.94535844,0.00048421,1.8282,0.6,1.8283,True,259,13,,"switch_minimiser bfgs gnorm 0.1
",150
structure82,switch,-469.64852826,0.00017967,2.5596,0.6,2.5596,True,235,8,,"switch_minimiser bfgs gnorm 0.1
",180
structure83,switch,-469.64854016,0.00013027,0.9446,0.6,0.9446,True,113,1,,"switch_minimiser bfgs gnorm 0.1
",109
structure84,switch,-468.81640737,0.00037431,0.9639,0.6,0.9639,True,138,3,,"switch_minimiser bfgs gnorm 0.1
",126
structure85,switch,-469.68511909,0.00030108,0.8206,0.6,0.8206,True,106,3,,"switch_minimiser bfgs gnorm 0.1
",89
structure86,switch,-468.53117254,0.00022381,0.7915,0.6,0.7915,True,104,3,,"switch_minimiser bfgs gnorm 0.1
",74
structure87,switch,-467.41562347,0.00026671,1.2687,0.6,1.2687,True,171,1,,"switch_minimiser bfgs gnorm 0.1
",164
structure88,switch,-470.28556417,0.00037072,0.813,0.6,0.813,True,98,1,,"switch_minimiser bfgs gnorm 0.1
",89
structure89,switch,inf,0,0.2424,0.56,0.2425,False,37,0,"  **** Too many failed attempts to optimise ****
","switch_minimiser bfgs gnorm 0.1
",-1
structure90,switch,-470.81682232,0.00026821,0.9532,0.6,0.9533,True,123,3,,"switch_minimiser bfgs gnorm 0.1
",111
structure91,switch,-468.10293637,0.00026987,1.391,0.6,1.3911,True,160,2,,"switch_minimiser bfgs gnorm 0.1
",140
structure92,switch,-473.85897551,0.00024045,2.0875,0.6,2.0876,True,282,4,,"switch_minimiser bfgs gnorm 0.1
",251
structure93,switch,-466.9620404,0.18578699,3.0769,0.6,3.0769,False,297,36,"  **** Conditions for a minimum have not been satisfied. However ****
  **** no lower point can be found - treat results with caution  ****
  **** unless gradient norm is small (less than 0.1)             ****
","switch_minimiser bfgs gnorm 0.1
",66
structure94,switch,-470.46842701,0.00015319,2.0114,0.6,2.0114,True,271,9,,"switch_minimiser bfgs gnorm 0.1
",200
structure95,switch,-471.03029296,0.00015069,1.8184,0.6,1.8185,True,209,13,,"switch_minimiser bfgs gnorm 0.1
",98
structure96,switch,-470.2624224,0.00037895,1.6046,0.6,1.6046,True,178,10,,"switch_minimiser bfgs gnorm 0.1
",92
structure97,switch,-469.73616656,0.00023779,0.6366,0.6,0.6366,True,98,1,,"switch_minimiser bfgs gnorm 0.1
",89
structure98,switch,-471.00649403,8.98E-05,0.7704,0.6,0.7704,True,94,2,,"switch_minimiser bfgs gnorm 0.1
",86
structure99,switch,-467.63927581,0.00031756,1.2184,0.6,1.2185,True,143,8,,"switch_minimiser bfgs gnorm 0.1
",102
structure100,switch,-470.79206412,0.00024159,0.4263,0.6,0.4263,True,58,1,,"switch_minimiser bfgs gnorm 0.1
",51
structure101,switch,-467.68090028,0.00019157,1.0198,0.6,1.0199,True,117,8,,"switch_minimiser bfgs gnorm 0.1
",67
structure102,switch,-470.77288996,0.00035749,1.2609,0.6,1.2609,True,136,2,,"switch_minimiser bfgs gnorm 0.1
",120
structure103,switch,-471.00649404,6.857E-05,2.4934,0.6,2.4934,True,246,4,,"switch_minimiser bfgs gnorm 0.1
",215
structure104,switch,-469.61380354,0.00040318,1.1757,0.6,1.1758,True,133,3,,"switch_minimiser bfgs gnorm 0.1
",111
structure105,switch,-475.75063913,3.049E-05,0.5119,0.6,0.512,True,63,1,,"switch_minimiser bfgs gnorm 0.1
",58
structure106,switch,-470.11012424,0.00047777,3.0987,0.6,3.0987,True,285,18,,"switch_minimiser bfgs gnorm 0.1
",144
structure107,switch,-469.79074998,0.0004046,0.8382,0.6,0.8382,True,96,6,,"switch_minimiser bfgs gnorm 0.1
",61
structure108,switch,-469.58907655,0.00022156,1.3779,0.6,1.3779,True,172,6,,"switch_minimiser bfgs gnorm 0.1
",140
structure109,switch,-468.2483981,0.00030956,1.4412,0.6,1.4412,True,147,3,,"switch_minimiser bfgs gnorm 0.1
",139
structure110,switch,-470.65481189,0.00030272,0.9611,0.6,0.9611,True,118,5,,"switch_minimiser bfgs gnorm 0.1
",87
structure111,switch,inf,0,0.2101,0.56,0.2102,False,28,0,"  **** Too many failed attempts to optimise ****
","switch_minimiser bfgs gnorm 0.1
",-1
structure112,switch,-464.74327349,0.00023092,2.1991,0.6,2.1991,True,255,8,,"switch_minimiser bfgs gnorm 0.1
",191
structure113,switch,inf,0,0.269,0.56,0.269,False,47,0,"  **** Too many failed attempts to optimise ****
","switch_minimiser bfgs gnorm 0.1
",-1
structure114,switch,-469.97182802,0.00011057,1.9497,0.6,1.9497,True,195,8,,"switch_minimiser bfgs gnorm 0.1
",134
structure115,switch,-471.11659849,0.00031967,1.0773,0.6,1.0773,True,128,6,,"switch_minimiser bfgs gnorm 0.1
",103
structure116,switch,-467.10041398,0.00030825,0.9441,0.6,0.9441,True,115,5,,"switch_minimiser bfgs gnorm 0.1
",79
structure117,switch,-467.99619515,0.00017718,1.7391,0.6,1.7392,True,190,3,,"switch_minimiser bfgs gnorm 0.1
",163
structure118,switch,-469.49623034,0.00019733,1.6253,0.6,1.6254,True,193,11,,"switch_minimiser bfgs gnorm 0.1
",99
structure119,switch,-470.4361564,0.00017629,0.9731,0.6,0.9731,True,130,1,,"switch_minimiser bfgs gnorm 0.1
",121
structure120,switch,-469.30026892,8.859E-05,1.4148,0.6,1.4149,True,153,4,,"switch_minimiser bfgs gnorm 0.1
",122
structure121,switch,inf,0,0.1701,0.56,0.1702,False,25,0,"  **** Too many failed attempts to optimise ****
","switch_minimiser bfgs gnorm 0.1
",-1
structure122,switch,-470.01926727,0.0002214,1.2987,0.6,1.2987,True,129,7,,"switch_minimiser bfgs gnorm 0.1
",87
structure123,switch,-468.2627682,0.00048107,1.1296,0.6,1.1296,True,116,7,,"switch_minimiser bfgs gnorm 0.1
",69
structure124,switch,-469.74565001,0.00037134,3.1252,0.6,3.1252,True,368,4,,"switch_minimiser bfgs gnorm 0.1
",336
structure125,switch,-469.28882081,0.000252,2.6604,0.6,2.6604,True,320,2,,"switch_minimiser bfgs gnorm 0.1
",309
structure126,switch,-468.92761785,0.00010821,1.1291,0.6,1.1291,True,126,6,,"switch_minimiser bfgs gnorm 0.1
",79
structure127,switch,-469.09450822,7.923E-05,1.4064,0.6,1.4064,True,175,7,,"switch_minimiser bfgs gnorm 0.1
",150
structure128,switch,inf,0,0.1538,0.56,0.1538,False,20,0,"  **** Too many failed attempts to optimise ****
","switch_minimiser bfgs gnorm 0.1
",-1
structure129,switch,-469.5593668,0.00028427,2.2803,0.6,2.2803,True,272,17,,"switch_minimiser bfgs gnorm 0.1
",125
structure130,switch,inf,0,0.1841,0.56,0.1841,False,28,0,"  **** Too many failed attempts to optimise ****
","switch_minimiser bfgs gnorm 0.1
",-1
structure131,switch,-470.58935079,6.124E-05,0.6877,0.6,0.6877,True,91,6,,"switch_minimiser bfgs gnorm 0.1
",62
structure132,switch,-469.19957406,0.00040881,1.8834,0.6,1.8834,True,195,4,,"switch_minimiser bfgs gnorm 0.1
",171
structure133,switch,-467.85570489,0.00032721,0.9993,0.6,0.9993,True,110,4,,"switch_minimiser bfgs gnorm 0.1
",84
structure134,switch,-471.86253378,0.0002677,0.8663,0.6,0.8663,True,102,5,,"switch_minimiser bfgs gnorm 0.1
",61
structure135,switch,-471.05897331,0.00026698,1.5576,0.6,1.5576,True,198,5,,"switch_minimiser bfgs gnorm 0.1
",162
structure136,switch,-467.41562364,0.00019017,0.9026,0.6,0.9026,True,106,2,,"switch_minimiser bfgs gnorm 0.1
",93
structure137,switch,inf,0,0.7663,0.56,0.7663,False,184,0,"  **** Too many failed attempts to optimise ****
","switch_minimiser bfgs gnorm 0.1
",-1
structure138,switch,-471.09159167,2.363E-05,1.5876,0.6,1.5876,True,214,5,,"switch_minimiser bfgs gnorm 0.1
",170
structure139,switch,-468.13524932,0.00015754,1.7115,0.6,1.7116,True,207,9,,"switch_minimiser bfgs gnorm 0.1
",165
structure140,switch,-471.5068164,0.00019017,2.4184,0.6,2.4185,True,244,5,,"switch_minimiser bfgs gnorm 0.1
",204
structure141,switch,-467.71272792,0.00027742,2.9897,0.6,2.9898,True,367,29,,"switch_minimiser bfgs gnorm 0.1
",114
structure142,switch,-469.97803109,0.00028571,1.5915,0.6,1.5915,True,188,11,,"switch_minimiser bfgs gnorm 0.1
",110
structure143,switch,-470.46761164,0.00048041,2.2186,0.6,2.2186,True,188,5,,"switch_minimiser bfgs gnorm 0.1
",151
structure144,switch,-465.56841871,0.00034203,0.7194,0.6,0.7194,True,88,1,,"switch_minimiser bfgs gnorm 0.1
",79
structure145,switch,-469.34951125,0.00034069,0.4064,0.6,0.4065,True,61,1,,"switch_minimiser bfgs gnorm 0.1
",55
structure146,switch,-469.34372152,0.00039452,1.2598,0.6,1.2598,True,136,4,,"switch_minimiser bfgs gnorm 0.1
",107
structure147,switch,-469.55795579,8.823E-05,0.6377,0.6,0.6377,True,78,1,,"switch_minimiser bfgs gnorm 0.1
",70
structure148,switch,-470.12519478,0.0001186,0.9067,0.6,0.9067,True,123,9,,"switch_minimiser bfgs gnorm 0.1
",69
structure149,switch,-465.4425045,0.00032975,0.8046,0.6,0.8046,True,92,4,,"switch_minimiser bfgs gnorm 0.1
",70
structure150,switch,-468.28453413,0.00020165,0.6027,0.6,0.6027,True,79,1,,"switch_minimiser bfgs gnorm 0.1
",70
structure151,switch,-471.8237592,7.475E-05,2.8936,0.6,2.8936,True,384,21,,"switch_minimiser bfgs gnorm 0.1
",181
structure152,switch,-471.03029295,0.00028583,2.206,0.6,2.206,True,256,12,,"switch_minimiser bfgs gnorm 0.1
",169
structure153,switch,-471.46235874,0.00012481,2.498,0.6,2.498,True,281,14,,"switch_minimiser bfgs gnorm 0.1
",190
structure154,switch,-468.81392011,0.00041952,1.7593,0.6,1.7593,True,196,2,,"switch_minimiser bfgs gnorm 0.1
",177
structure155,switch,-470.36840059,0.00019793,0.5169,0.6,0.517,True,67,1,,"switch_minimiser bfgs gnorm 0.1
",61
structure156,switch,-470.03296361,9.238E-05,0.9791,0.6,0.9792,True,117,1,,"switch_minimiser bfgs gnorm 0.1
",109
structure157,switch,-471.05890177,0.00014095,1.1123,0.6,1.1123,True,139,7,,"switch_minimiser bfgs gnorm 0.1
",82
structure158,switch,-468.27786252,0.09955994,10.3245,0.6,10.3246,False,1000,203,"  **** Maximum number of function calls has been reached ****
","switch_minimiser bfgs gnorm 0.1
",249
structure160,switch,-469.58140461,0.00025993,2.4528,0.6,2.4528,True,262,16,,"switch_minimiser bfgs gnorm 0.1
",131
structure161,switch,-470.54671441,0.00012421,1.6987,0.6,1.6987,True,200,5,,"switch_minimiser bfgs gnorm 0.1
",162
structure162,switch,-471.54625701,0.00029925,1.419,0.6,1.419,True,122,3,,"switch_minimiser bfgs gnorm 0.1
",101
structure163,switch,-469.26269833,0.00017027,0.7303,0.6,0.7304,True,102,4,,"switch_minimiser bfgs gnorm 0.1
",69
structure164,switch,-469.3220054,0.00034031,1.48,0.6,1.48,True,167,6,,"switch_minimiser bfgs gnorm 0.1
",130
structure165,switch,-469.1805177,0.00026298,1.1645,0.6,1.1645,True,133,4,,"switch_minimiser bfgs gnorm 0.1
",101
structure166,switch,-472.41780381,0.00031262,2.4648,0.6,2.4648,True,279,7,,"switch_minimiser bfgs gnorm 0.1
",231
structure167,switch,-465.72629549,0.00014799,1.066,0.6,1.066,True,120,8,,"switch_minimiser bfgs gnorm 0.1
",82
structure168,switch,-471.05890142,0.0004128,1.7179,0.6,1.7179,True,242,13,,"switch_minimiser bfgs gnorm 0.1
",124
structure169,switch,-472.66856782,7.689E-05,0.8494,0.6,0.8494,True,111,5,,"switch_minimiser bfgs gnorm 0.1
",71
structure170,switch,-470.73628277,0.00012128,1.4266,0.6,1.4267,True,172,6,,"switch_minimiser bfgs gnorm 0.1
",120
structure171,switch,inf,0,0.1768,0.56,0.1768,False,25,0,"  **** Too many failed attempts to optimise ****
","switch_minimiser bfgs gnorm 0.1
",-1
structure172,switch,-468.33540733,0.00010681,0.8329,0.6,0.8329,True,115,3,,"switch_minimiser bfgs gnorm 0.1
",99
structure173,switch,-466.29010392,9.736E-05,0.896,0.6,0.896,True,118,1,,"switch_minimiser bfgs gnorm 0.1
",110
structure174,switch,-470.11296149,0.00041424,1.4936,0.6,1.4936,True,183,4,,"switch_minimiser bfgs gnorm 0.1
",166
structure175,switch,-469.46536517,0.00040123,3.2705,0.6,3.2706,True,312,28,,"switch_minimiser bfgs gnorm 0.1
",141
structure176,switch,-467.49275994,0.00024962,0.8547,0.6,0.8547,True,122,7,,"switch_minimiser bfgs gnorm 0.1
",79
structure177,switch,-467.92254269,0.00052006,1.6661,0.6,1.6661,True,212,4,,"switch_minimiser bfgs gnorm 0.1
",181
structure178,switch,-469.47903919,7.666E-05,0.6026,0.6,0.6026,True,90,2,,"switch_minimiser bfgs gnorm 0.1
",79
structure179,switch,-471.46161282,0.00014099,1.2769,0.6,1.2769,True,161,3,,"switch_minimiser bfgs gnorm 0.1
",140
structure180,switch,-469.670844,0.00015557,2.5041,0.6,2.5041,True,249,8,,"switch_minimiser bfgs gnorm 0.1
",194
structure181,switch,-468.10924619,0.13411444,1.4312,0.6,1.4312,False,167,6,"  **** Conditions for a minimum have not been satisfied. However ****
  **** no lower point can be found - treat results with caution  ****
  **** unless gradient norm is small (less than 0.1)             ****
","switch_minimiser bfgs gnorm 0.1
",150
structure182,switch,-469.77325513,0.00036878,5.1416,0.6,5.1417,True,649,148,,"switch_minimiser bfgs gnorm 0.1
",110
structure183,switch,-470.74454348,0.00041634,0.7636,0.6,0.7636,True,105,3,,"switch_minimiser bfgs gnorm 0.1
",85
structure184,switch,-469.63061332,0.0004639,1.7606,0.6,1.7606,True,221,12,,"switch_minimiser bfgs gnorm 0.1
",127
structure185,switch,-471.03029293,0.00018524,1.6675,0.6,1.6675,True,203,12,,"switch_minimiser bfgs gnorm 0.1
",120
structure186,switch,-471.74887994,9.853E-05,2.9403,0.6,2.9403,True,257,8,,"switch_minimiser bfgs gnorm 0.1
",197
structure187,switch,-468.0020976,0.0001226,0.7164,0.6,0.7164,True,92,1,,"switch_minimiser bfgs gnorm 0.1
",84
structure188,switch,-468.62053824,0.00025266,1.0462,0.6,1.0462,True,126,1,,"switch_minimiser bfgs gnorm 0.1
",119
structure189,switch,-470.52326472,0.00021785,0.9033,0.6,0.9033,True,132,1,,"switch_minimiser bfgs gnorm 0.1
",125
structure190,switch,-468.64168014,8.028E-05,1.8391,0.6,1.8391,True,275,19,,"switch_minimiser bfgs gnorm 0.1
",109
structure191,switch,-470.37596152,0.00031478,0.9673,0.6,0.9673,True,97,1,,"switch_minimiser bfgs gnorm 0.1
",90
structure192,switch,-465.08139429,0.00036136,2.093,0.6,2.093,True,249,26,,"switch_minimiser bfgs gnorm 0.1
",150
structure193,switch,-468.14006946,0.00036566,1.124,0.6,1.124,True,152,4,,"switch_minimiser bfgs gnorm 0.1
",116
structure194,switch,-470.44296861,0.00046757,0.8976,0.6,0.8976,True,109,2,,"switch_minimiser bfgs gnorm 0.1
",91
structure195,switch,-472.05027481,0.00026037,1.6675,0.6,1.6675,True,211,8,,"switch_minimiser bfgs gnorm 0.1
",162
structure196,switch,-469.46728,0.00028228,0.8607,0.6,0.8607,True,110,1,,"switch_minimiser bfgs gnorm 0.1
",100
structure197,switch,-470.74819046,0.00036509,1.2456,0.6,1.2456,True,149,6,,"switch_minimiser bfgs gnorm 0.1
",107
structure198,switch,-465.12258389,0.00024163,3.3342,0.6,3.3342,True,343,23,,"switch_minimiser bfgs gnorm 0.1
",130
structure199,switch,-475.7506391,0.00013753,1.4543,0.6,1.4543,True,240,3,,"switch_minimiser bfgs gnorm 0.1
",220
structure200,switch,-470.64690328,0.00024003,0.895,0.6,0.895,True,109,4,,"switch_minimiser bfgs gnorm 0.1
",79
rat_structure201,switch,-475.75063913,2.082E-05,0.0448,0.6,0.0449,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure202,switch,-475.75063914,1.062E-05,0.0449,0.6,0.0449,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure203,switch,-475.75063914,2E-07,0.0488,0.6,0.0488,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure204,switch,-475.75063914,3.24E-06,0.0451,0.6,0.0451,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure205,switch,-475.75063914,4.43E-06,0.0451,0.6,0.0451,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure206,switch,-475.75063914,6E-07,0.0488,0.6,0.0488,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure207,switch,-475.75063914,5.53E-06,0.0459,0.6,0.0459,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure208,switch,-475.75063914,8.6E-07,0.0382,0.6,0.0382,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure209,switch,-475.75063914,1.81E-06,0.0475,0.6,0.0475,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure210,switch,-475.75063914,3.8E-06,0.036,0.6,0.036,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure211,switch,-475.75063914,1.76E-06,0.0458,0.6,0.0458,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure212,switch,-475.75063914,8.9E-07,0.0569,0.6,0.0569,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure213,switch,-475.75063914,7.7E-07,0.0483,0.6,0.0483,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure214,switch,-475.75063914,2.32E-06,0.051,0.6,0.051,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure215,switch,-475.75063913,5.085E-05,0.0459,0.6,0.0459,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure216,switch,-475.75063914,5.7E-07,0.0517,0.6,0.0517,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure217,switch,-475.75063914,1.956E-05,0.0451,0.6,0.0451,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure218,switch,-475.75063914,1.35E-06,0.0448,0.6,0.0448,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
