,structure,folder,interatomic_custom,interatomic_lammps,electrostatic_custom
0,structure100,random,76.4681736817323,76.46817368173298,-300.61402526508385
0,structure101,random,184.41470372858083,184.41470372858117,-370.77724933565094
0,structure102,random,355.0149136098475,355.01491360985193,-560.6658282558493
0,structure103,random,68.24027636255668,68.24027636255693,-268.96321094977145
0,structure104,random,32.51983339238676,32.51965839385251,-221.84244010545385
0,structure105,random,60.19421891948419,60.194218919484165,-212.4008969391938
0,structure106,random,152.51987749902858,152.5198774990283,-483.56253424607826
0,structure107,random,184.06922830759947,184.0692283075993,-353.86032649175905
0,structure108,random,20.161507953548902,20.16150795354884,-211.6521060174286
0,structure109,random,51.409570046258814,51.4095700462589,-201.0807242549796
0,structure10,random,67.412364991336,67.4123649913363,-253.96706045700006
0,structure110,random,114.44233212343177,114.44233212343184,-446.8910430312442
0,structure111,random,76.04068225303511,76.04068225303553,-77.07759587325168
0,structure112,random,101.40247474745425,101.40229974892051,-248.06251531847863
0,structure113,random,125.61711386479004,125.61693886625565,-219.49794476812866
0,structure114,random,144.90490234156593,144.90455234449772,-327.2932224327831
0,structure115,random,87.57093614958033,87.56988615837602,-340.31940128964897
0,structure116,random,130.94249847456925,130.94249847456874,-148.41936150599963
0,structure117,random,13.283752107699353,13.283752107699401,-151.7870892899146
0,structure118,random,46.3823578772683,46.382357877268284,-205.25597142688812
0,structure119,random,160.81862184871224,160.8186218487118,-347.0950678324236
0,structure11,random,116.44767411628618,116.44767411628648,-245.91234451904202
0,structure120,random,109.1331600968008,109.13246010266407,-367.7678281542516
0,structure121,random,68.22125115988509,68.22125115988557,-154.0395834073985
0,structure122,random,83.75542874388178,83.75542874388178,-289.3644942571254
0,structure123,random,54.853138688828984,54.853138688828835,-312.22615131782806
0,structure124,random,191.17513472299385,191.1751347229937,-297.76107018690936
0,structure125,random,16.06118820060215,16.060838203533535,-174.60377348923038
0,structure126,random,132.10479627015124,132.10479627015067,-369.8318404177813
0,structure127,random,55.43451164667631,55.43451164667649,-137.4763384914952
0,structure128,random,233.03626205099113,233.03626205099022,-396.2120122993106
0,structure129,random,93.8530549173737,93.85305491737408,-172.3436967702887
0,structure12,random,164.04722465725334,164.04722465725303,-376.5609053577165
0,structure130,random,104.87098148987502,104.87080649134111,-68.2831571460807
0,structure131,random,76.33062888621131,76.33062888621156,-320.465171181117
0,structure132,random,28.698009372947197,28.69765937587847,-212.95243643502857
0,structure133,random,34.63526908847155,34.635269088471425,-109.1826136093595
0,structure134,random,171.03454218920427,171.03454218920297,-335.91965794101
0,structure135,random,47.42067468656739,47.41997469243035,-34.614945242992896
0,structure136,random,115.99709095193839,115.99691595340438,-200.2321083767935
0,structure137,random,0.4006645961905678,0.40066459619056494,-175.74553082345534
0,structure138,random,55.036800000547004,55.03680000054707,-146.17215186750218
0,structure139,random,66.48240171283604,66.48240171283602,-227.33963052469866
0,structure13,random,39.80459434240227,39.80424434533369,-175.35025148910398
0,structure140,random,61.89751870344571,61.89681870930879,-66.4119061082804
0,structure141,random,68.99199534271273,68.99164534564426,-240.46118165949287
0,structure142,random,91.63470551716911,91.63470551716951,-74.96298436190445
0,structure143,random,57.26942041989758,57.26942041989755,-174.73722331195938
0,structure144,random,74.24877400146043,74.24877400146084,-326.58973807153416
0,structure145,random,36.4015861452548,36.40106114965191,-258.3791519355668
0,structure146,random,189.6681451303718,189.66814513037195,-521.6326822974079
0,structure147,random,30.679503935920746,30.67932893738627,-249.95618884044495
0,structure148,random,251.41705271396808,251.41705271396745,-491.9461964161372
0,structure149,random,100.1931074389322,100.19310743893256,-131.4265818543398
0,structure14,random,120.95629423400821,120.95629423400821,-353.2492660861043
0,structure150,random,263.18078219070173,263.1807821907061,-426.09246000731105
0,structure151,random,119.31924511022413,119.3185451160873,-474.2431313499367
0,structure152,random,101.30280794633087,101.30245794926273,-372.2740759193646
