,structure,folder,interatomic_custom,interatomic_lammps,electrostatic_custom
0,structure182,random,75.26643164629114,75.26573165215443,-261.26838883071395
0,structure183,random,119.26030545098106,119.26030545098172,-342.2749632863888
0,structure184,random,93.5946463318835,93.5946463318835,-304.329212796698
0,structure185,random,78.76740711067357,78.76723211213948,-301.09231913340795
0,structure186,random,35.2766450030407,35.27629500597222,66.47135681173782
0,structure187,random,320.5950567208984,320.595056720902,-567.9328996202449
0,structure188,random,58.96254597050806,58.96254597050818,-323.3963990795599
0,structure189,random,71.36472179467735,71.36472179467735,-225.30090058711545
0,structure18,random,130.33639186973915,130.33604187267133,-340.83004333658926
0,structure190,random,112.86614866032575,112.86614866032573,-330.5412870779799
0,structure191,random,39.308969665980555,39.308619668911874,-102.72647711883155
0,structure192,random,13.266298092740024,13.266123094205769,-150.32205352753286
0,structure193,random,226.0978402742033,226.0978402742037,-427.0724004433497
0,structure194,random,12.038870971241042,12.038870971241034,-229.71992415039753
0,structure195,random,42.732554204139774,42.73237920560561,-347.54712535138475
0,structure196,random,187.01224835038315,187.01224835038403,-452.2582189352673
0,structure197,random,122.77695973570985,122.77695973570977,-207.97583947214957
0,structure198,random,113.64449603308121,113.64414603601328,-272.7860110604907
0,structure199,random,370.89107441152515,370.89107441153175,-521.0985875240912
0,structure19,random,43.287093369815786,43.287093369815935,13.152550535122806
0,structure1,random,97.0201341096753,97.0196091140734,-313.1955014194529
0,structure200,random,103.26979370752471,103.26979370752497,-220.14763143168233
0,structure20,random,114.61524427540157,114.61524427540174,-360.33319671475067
0,structure21,random,78.7097044857945,78.70970448579541,121.25976334003407
0,structure22,random,130.14872664827425,130.14872664827462,-389.42939819966625
0,structure23,random,83.68053653290326,83.68001153730052,-219.06133254108045
0,structure24,random,129.44485593298535,129.44485593298452,-455.0430704509731
0,structure25,random,99.75467645779815,99.7543264607301,-406.10235872712053
0,structure26,random,99.26274618219443,99.26134619392042,-318.95564694760634
0,structure27,random,344.81673075021797,344.8167307502233,-552.8584978352311
0,structure28,random,51.39743935768695,51.39708936061838,-301.38897629842296
0,structure29,random,146.51035339682002,146.5096534026828,-388.93794954913847
0,structure2,random,29.992322286925347,29.992322286925223,-152.84301769684743
0,structure30,random,41.515546752641214,41.51554675264119,-236.30740900042247
0,structure31,random,148.31675308106435,148.3162280854609,-402.1456581978354
0,structure32,random,9.339763599989617,9.339413602921079,-158.68078231258494
0,structure33,random,41.832849391839616,41.83284939183952,-270.59245999252954
0,structure34,random,142.3675824247399,142.36758242474008,-341.416543583213
0,structure35,random,198.30959004290295,198.30889004876693,-324.24868580555517
0,structure36,random,137.6312036311723,137.63120363117213,-11.757024646596363
0,structure37,random,64.86343270855713,64.86325771002299,-251.24089509533974
0,structure38,random,164.88098634006218,164.8809863400628,-364.014009394784
0,structure39,random,108.20018246201613,108.20000746348222,-129.52355832820996
0,structure3,random,170.97334568815418,170.97334568815387,-314.63751013158935
0,structure40,random,70.51520074617409,70.51520074617433,-322.16880423275177
0,structure41,random,52.61425331121243,52.61425331121242,-392.7457766491183
0,structure42,random,23.421986460499184,23.421461464896364,-212.3000952318342
0,structure43,random,103.09964385847488,103.09964385847513,-269.6922491905157
0,structure44,random,14.13428237458817,14.133407381916895,-137.266618657798
0,structure45,random,131.6497585560911,131.6497585560913,-460.16949370726195
0,structure46,random,207.3839981170632,207.383998117063,-443.4760247647097
0,structure47,random,50.363958237438354,50.36360824036981,-104.45277374881974
0,structure48,random,126.47111808308607,126.47041808894886,-397.46709799214057
0,structure49,random,76.94577404986772,76.94542405279915,-92.11575258736389
0,structure4,random,86.73882635065466,86.7388263506543,-140.0966993130389
0,structure50,random,95.41054708336519,95.41054708336564,-322.4495792755432
0,structure51,random,26.651699925163488,26.65169992516341,19.08374166391141
0,structure52,random,70.40325031911047,70.40325031911055,-190.55558283740766
0,structure53,random,98.4671316443413,98.46643165020447,111.0755286655502
0,structure54,random,243.41345308283445,243.41345308283368,-397.93612498541654
0,structure55,random,37.88540763744023,37.88540763744024,-219.14463160927195
0,structure56,random,0.6463197149670658,0.6461447164328061,-128.02920303006448
0,structure57,random,252.0653847314096,252.06538473141185,-298.0146213966493
0,structure58,random,55.68690087633676,55.686725877802516,-377.25405928542494
0,structure59,random,31.53762331486617,31.537448316331737,-84.27264132086803
0,structure5,random,184.56602636328333,184.5660263632839,-198.71973060820298
0,structure60,random,178.06150878627884,178.0615087862782,-443.66323856540583
0,structure61,random,63.326415501075914,63.32606550400752,-324.4537104085042
0,structure62,random,55.958863259925174,55.95886325992518,-311.03578321920037
0,structure63,random,39.36063737099422,39.36063737099432,-281.84640187327193
0,structure64,random,142.5871159806699,142.58711598066856,-414.75110746131907
0,structure65,random,283.7538164707444,283.7538164707515,-513.9045522082688
0,structure66,random,26.052656935712587,26.052656935712566,-175.3359148164241
0,structure67,random,245.23355145418583,245.23355145418603,-494.4659722339752
0,structure68,random,47.817064237033655,47.817064237033584,-92.27497997800431
0,structure69,random,78.70827540453018,78.70827540453045,-223.22179129043258
0,structure6,random,67.00702180012054,67.00632180598365,-197.1335787171687
0,structure70,random,186.01176717874796,186.01176717874856,-391.0290666091636
0,structure71,random,256.26213463761604,256.26213463761883,-314.7170436501273
0,structure72,random,49.748849665158616,49.74814967102143,-112.45875833182775
0,structure73,random,33.9568256840592,33.956825684059005,-294.72444220557674
0,structure74,random,52.80594063331141,52.80576563477726,-180.33063303291104
0,structure75,random,39.260651842860696,39.26047684432644,-236.2109929300518
0,structure76,random,60.00789181745846,60.00789181745853,-384.983386995619
0,structure77,random,45.4572779971147,45.45657800297768,-8.17859678708665
0,structure78,random,99.26274876892512,99.26274876892491,-374.79157764415504
0,structure79,random,140.2828243516404,140.28282435164004,-286.63589436513337
0,structure7,random,204.50011196601264,204.500111966012,-452.0589430242158
0,structure80,random,97.23228454892065,97.23088456064687,-153.12652480141344
0,structure81,random,45.99997193441655,45.9996219373481,-233.95970070623775
0,structure82,random,153.43915162058093,153.4391516205804,-424.42597759217307
0,structure83,random,134.68011004060088,134.68011004059997,-389.6147154268123
0,structure84,random,86.49824408379027,86.49824408379044,-359.75558542825087
0,structure85,random,46.012213532272575,46.01186353520403,-295.18195842484363
0,structure86,random,35.67102257984532,35.67102257984528,-81.05411451548841
0,structure87,random,215.1741157483275,215.17411574832903,-411.23870099492785
0,structure88,random,259.06864230887044,259.06864230887373,-420.1704296028045
0,structure89,random,128.82568291000607,128.82533291293726,-201.75094604281608
0,structure8,random,56.34501615587048,56.34501615587055,-248.35513854872923
0,structure90,random,134.40653190049784,134.4054819092918,-282.6644433817311
0,structure91,random,66.29849185074598,66.2977918566091,-248.40369244032297
0,structure92,random,98.25744074796157,98.25744074796145,-92.80672583496599
0,structure93,random,62.24613635712701,62.24613635712712,-249.98255053125442
0,structure94,random,64.86814620562666,64.86762121002393,-242.31462122718258
0,structure95,random,81.0110401131297,81.010515117527,63.18986624917221
0,structure96,random,83.59672976918247,83.59602977504588,-194.65930252364427
0,structure97,random,114.66125555977455,114.66125555977438,-392.814439715161
0,structure98,random,126.78705884594814,126.78635885181164,-228.77366894593843
0,structure99,random,280.0939165334394,280.09391653344534,-513.195015330186
0,structure9,random,125.42834231584285,125.4283423158431,-331.2787276829937
