,steps,energies
0,0.0,-122.85491310997993
1,0.001,-122.8591426943615
2,0.002,-122.86338415721178
3,0.003,-122.86763749768207
4,0.004,-122.87190271489025
5,0.005,-122.87617980792086
6,0.006,-122.88046877582492
7,0.007,-122.88476961761998
8,0.008,-122.88908233229023
9,0.009000000000000001,-122.89340691878618
10,0.01,-122.89774337602509
