,steps,energies
0,0.0,-216.15313765860301
1,0.01,-216.1242274759185
2,0.02,-216.08937031810373
3,0.03,-216.0486032548273
4,0.04,-216.00196687016722
5,0.05,-215.94948612215512
6,0.06,-215.89124718890054
7,0.07,-215.82728220772918
8,0.08,-215.7576463811826
9,0.09,-215.682379620333
10,0.1,-215.60158362029114
