,structure,folder,real_cutoff,reciprocal_cutoff
0,structure1draw33,rattled,2,1
0,structure1draw34,rattled,2,1
0,structure1draw35,rattled,2,1
0,structure1draw36,rattled,2,1
0,structure1draw37,rattled,2,1
0,structure1draw38,rattled,2,1
0,structure1draw39,rattled,2,1
0,structure1draw3,rattled,2,1
0,structure1draw40,rattled,2,1
0,structure1draw4,rattled,2,1
0,structure1draw5,rattled,2,1
0,structure1draw6,rattled,2,1
0,structure1draw7,rattled,2,1
0,structure1draw8,rattled,2,1
0,structure1draw9,rattled,2,1
